ID,ANGER,TIMESTAMP
120,0.11655527,"21-01-2017,08:16:00"
121,0.10480339,"21-01-2017,08:16:00"
122,0.040046256,"21-01-2017,08:16:00"
123,0.024299666,"21-01-2017,08:16:01"
124,0.0072100163,"21-01-2017,08:16:01"
125,0.0060432074,"21-01-2017,08:16:01"
126,0.0063645034,"21-01-2017,08:16:01"
127,0.00951428,"21-01-2017,08:16:02"
128,0.026906814,"21-01-2017,08:16:02"
129,0.005817088,"21-01-2017,08:16:02"
130,0.0046763327,"21-01-2017,08:16:02"
131,0.004613457,"21-01-2017,08:16:02"
132,0.0048538,"21-01-2017,08:16:03"
133,0.008746221,"21-01-2017,08:16:03"
134,0.006535698,"21-01-2017,08:16:03"
135,0.0050236434,"21-01-2017,08:16:03"
136,0.0045561986,"21-01-2017,08:16:04"
137,0.004841536,"21-01-2017,08:16:04"
138,0.0047659324,"21-01-2017,08:16:04"
139,0.0047926954,"21-01-2017,08:16:04"
140,0.004871556,"21-01-2017,08:16:04"
141,0.004877464,"21-01-2017,08:16:05"
142,0.0065989504,"21-01-2017,08:16:05"
143,0.0045904997,"21-01-2017,08:16:05"
144,0.005403669,"21-01-2017,08:16:05"
145,0.005038978,"21-01-2017,08:16:06"
146,0.008150704,"21-01-2017,08:16:06"
147,0.0098629175,"21-01-2017,08:16:06"
148,0.011991124,"21-01-2017,08:16:06"
149,0.0069581205,"21-01-2017,08:16:07"
150,0.004405774,"21-01-2017,08:16:07"
151,0.0044478416,"21-01-2017,08:16:07"
152,0.004480836,"21-01-2017,08:16:07"
153,0.0045110495,"21-01-2017,08:16:07"
154,0.0044630524,"21-01-2017,08:16:08"
155,0.004453185,"21-01-2017,08:16:08"
156,0.0044111805,"21-01-2017,08:16:08"
157,0.013653745,"21-01-2017,08:16:08"
158,0.11638331,"21-01-2017,08:16:09"
159,0.1083532,"21-01-2017,08:16:09"
160,0.10603494,"21-01-2017,08:16:09"
161,0.10550492,"21-01-2017,08:16:09"
162,0.1200755,"21-01-2017,08:16:10"
163,0.116426274,"21-01-2017,08:16:10"
164,0.11209794,"21-01-2017,08:16:10"
165,0.056631595,"21-01-2017,08:16:10"
166,0.021755418,"21-01-2017,08:16:10"
167,0.009494649,"21-01-2017,08:16:11"
168,0.0046687396,"21-01-2017,08:16:11"
169,0.0045335917,"21-01-2017,08:16:11"
170,0.0045328005,"21-01-2017,08:16:11"
171,0.0045478684,"21-01-2017,08:16:12"
172,0.0045136656,"21-01-2017,08:16:12"
173,0.004492568,"21-01-2017,08:16:12"
174,0.0044850423,"21-01-2017,08:16:12"
175,0.0044948007,"21-01-2017,08:16:12"
176,0.0044275117,"21-01-2017,08:16:13"
177,0.00443125,"21-01-2017,08:16:13"
178,0.004359197,"21-01-2017,08:16:13"
179,0.004404325,"21-01-2017,08:16:13"
180,0.0044025695,"21-01-2017,08:16:14"
181,0.0044793193,"21-01-2017,08:16:14"
182,0.00449124,"21-01-2017,08:16:14"
