TIMESTAMP,DEVICE_ID,USER_ID,RAW_INTENSITY,STEPS,RAW_KIND,HEART_RATE
1485009929,1,1,-1,-1,1,70
1485009944,1,1,-1,-1,1,0
1485009958,1,1,-1,-1,1,0
1485009974,1,1,-1,-1,1,0
1485009988,1,1,-1,-1,1,0
1485010527,1,1,-1,-1,1,0
1485010564,1,1,-1,-1,1,0
1485010579,1,1,-1,-1,1,0
1485010594,1,1,-1,-1,1,0
1485010609,1,1,-1,-1,1,0
1485010629,1,1,-1,-1,1,69
1485010639,1,1,-1,-1,1,0
1485010655,1,1,-1,-1,1,0
1485010669,1,1,-1,-1,1,0
1485010684,1,1,-1,-1,1,0
1485010699,1,1,-1,-1,1,0
1485010714,1,1,-1,-1,1,0
1485010729,1,1,-1,-1,1,0
1485010745,1,1,-1,-1,1,0
1485010759,1,1,-1,-1,1,0
1485010774,1,1,-1,-1,1,0
1485010790,1,1,-1,-1,1,0
1485010810,1,1,-1,-1,1,45
1485010819,1,1,-1,-1,1,0
1485010840,1,1,-1,-1,1,89
1485010849,1,1,-1,-1,1,0
1485010864,1,1,-1,-1,1,0
1485010880,1,1,-1,-1,1,0
1485010894,1,1,-1,-1,1,0
1485010909,1,1,-1,-1,1,0
1485010924,1,1,-1,-1,1,0
1485010939,1,1,-1,-1,1,0
1485010954,1,1,-1,-1,1,0
1485010975,1,1,-1,-1,1,83
1485010990,1,1,-1,-1,1,95
1485011006,1,1,-1,-1,1,60
1485011020,1,1,-1,-1,1,55
1485011035,1,1,-1,-1,1,85
1485011049,1,1,-1,-1,1,79
1485011065,1,1,-1,-1,1,77
1485011095,1,1,-1,-1,1,74
1485011110,1,1,-1,-1,1,68
1485011121,1,1,-1,-1,1,75
1485011155,1,1,-1,-1,1,59
1485011166,1,1,-1,-1,1,100
1485011179,1,1,-1,-1,1,83
1485011195,1,1,-1,-1,1,0
1485011210,1,1,-1,-1,1,78
1485011224,1,1,-1,-1,1,75
1485011240,1,1,-1,-1,1,0
1485011260,1,1,-1,-1,1,85
1485011275,1,1,-1,-1,1,80
1485011284,1,1,-1,-1,1,0
1485011300,1,1,-1,-1,1,0
1485011316,1,1,-1,-1,1,61
1485011329,1,1,-1,-1,1,89
1485011345,1,1,-1,-1,1,74
1485011360,1,1,-1,-1,1,82
1485011395,1,1,-1,-1,1,79
1485011410,1,1,-1,-1,1,76
1485011419,1,1,-1,-1,1,0
1485011435,1,1,-1,-1,1,0
1485011450,1,1,-1,-1,1,0
1485011464,1,1,-1,-1,1,0
1485011480,1,1,-1,-1,1,0
1485011495,1,1,-1,-1,1,0
1485011509,1,1,-1,-1,1,0
1485011530,1,1,-1,-1,1,78
1485011540,1,1,-1,-1,1,0
1485011555,1,1,-1,-1,1,78
1485011571,1,1,-1,-1,1,70
1485011585,1,1,-1,-1,1,75
1485011600,1,1,-1,-1,1,78
1485011615,1,1,-1,-1,1,66
1485011630,1,1,-1,-1,1,0
1485011646,1,1,-1,-1,1,75
1485011660,1,1,-1,-1,1,79
1485011675,1,1,-1,-1,1,0
1485011690,1,1,-1,-1,1,77
1485011710,1,1,-1,-1,1,66
