TIMESTAMP,DEVICE_ID,USER_ID,RAW_INTENSITY,STEPS,RAW_KIND,HEART_RATE
1485007727,1,1,-1,-1,1,91
1485007741,1,1,-1,-1,1,91
1485007756,1,1,-1,-1,1,96
1485007772,1,1,-1,-1,1,91
1485007785,1,1,-1,-1,1,88
1485007801,1,1,-1,-1,1,94
1485007816,1,1,-1,-1,1,95
1485007831,1,1,-1,-1,1,94
1485007854,1,1,-1,-1,1,0
1485007866,1,1,-1,-1,1,89
1485007882,1,1,-1,-1,1,73
1485007902,1,1,-1,-1,1,0
1485007910,1,1,-1,-1,1,91
1485007929,1,1,-1,-1,1,0
1485007938,1,1,-1,-1,1,117
1485007959,1,1,-1,-1,1,0
1485007974,1,1,-1,-1,1,0
1485007986,1,1,-1,-1,1,45
1485008000,1,1,-1,-1,1,71
1485008016,1,1,-1,-1,1,55
1485008032,1,1,-1,-1,1,102
1485008046,1,1,-1,-1,1,69
1485008064,1,1,-1,-1,1,0
1485008079,1,1,-1,-1,1,0
1485008094,1,1,-1,-1,1,0
1485008108,1,1,-1,-1,1,88
1485008122,1,1,-1,-1,1,108
1485008139,1,1,-1,-1,1,0
1485008154,1,1,-1,-1,1,91
1485008167,1,1,-1,-1,1,107
1485008183,1,1,-1,-1,1,106
1485008198,1,1,-1,-1,1,102
1485008207,1,1,-1,-1,1,93
1485008222,1,1,-1,-1,1,94
1485008242,1,1,-1,-1,1,101
1485008251,1,1,-1,-1,1,100
1485008266,1,1,-1,-1,1,98
1485008282,1,1,-1,-1,1,105
1485008298,1,1,-1,-1,1,97
1485008313,1,1,-1,-1,1,100
1485008327,1,1,-1,-1,1,102
1485008348,1,1,-1,-1,1,98
1485008357,1,1,-1,-1,1,105
1485008371,1,1,-1,-1,1,96
1485008388,1,1,-1,-1,1,94
1485008404,1,1,-1,-1,1,95
1485008418,1,1,-1,-1,1,100
1485008433,1,1,-1,-1,1,96
1485008446,1,1,-1,-1,1,98
1485008461,1,1,-1,-1,1,95
1485008477,1,1,-1,-1,1,100
1485008492,1,1,-1,-1,1,93
1485008507,1,1,-1,-1,1,97
1485008523,1,1,-1,-1,1,95
1485008537,1,1,-1,-1,1,95
1485008553,1,1,-1,-1,1,98
1485008568,1,1,-1,-1,1,98
1485008583,1,1,-1,-1,1,101
1485008596,1,1,-1,-1,1,97
1485008613,1,1,-1,-1,1,98
1485008628,1,1,-1,-1,1,102
1485008642,1,1,-1,-1,1,107
1485008657,1,1,-1,-1,1,99
1485008672,1,1,-1,-1,1,92
1485008695,1,1,-1,-1,1,0
1485008702,1,1,-1,-1,1,102
1485008718,1,1,-1,-1,1,101
1485008732,1,1,-1,-1,1,96
1485008749,1,1,-1,-1,1,101
1485008762,1,1,-1,-1,1,101
1485008776,1,1,-1,-1,1,100
1485008792,1,1,-1,-1,1,96
1485008807,1,1,-1,-1,1,100
1485008827,1,1,-1,-1,1,72
1485008836,1,1,-1,-1,1,100
1485008852,1,1,-1,-1,1,102
1485008867,1,1,-1,-1,1,100
1485008882,1,1,-1,-1,1,95
1485008897,1,1,-1,-1,1,95
1485008913,1,1,-1,-1,1,94
1485008927,1,1,-1,-1,1,96
1485008942,1,1,-1,-1,1,98
1485008958,1,1,-1,-1,1,92
1485008977,1,1,-1,-1,1,89
1485008992,1,1,-1,-1,1,91
1485009001,1,1,-1,-1,1,92
1485009019,1,1,-1,-1,1,96
1485009040,1,1,-1,-1,1,0
1485009047,1,1,-1,-1,1,93
1485009067,1,1,-1,-1,1,98
1485009083,1,1,-1,-1,1,97
1485009097,1,1,-1,-1,1,74
1485009106,1,1,-1,-1,1,91
1485009124,1,1,-1,-1,1,101
1485009137,1,1,-1,-1,1,94
1485009158,1,1,-1,-1,1,93
1485009168,1,1,-1,-1,1,101
1485009183,1,1,-1,-1,1,96
1485009198,1,1,-1,-1,1,95
1485009212,1,1,-1,-1,1,61
1485009228,1,1,-1,-1,1,90
1485009247,1,1,-1,-1,1,80
1485009257,1,1,-1,-1,1,98
1485009272,1,1,-1,-1,1,97
1485009290,1,1,-1,-1,1,97
