ID,ANGER,TIMESTAMP
119,0.003864474,"21-01-2017,07:47:50"
120,0.004311454,"21-01-2017,07:47:51"
121,0.0042614373,"21-01-2017,07:47:51"
122,0.004027115,"21-01-2017,07:47:51"
123,0.003142252,"21-01-2017,07:47:51"
124,0.0031909335,"21-01-2017,07:47:51"
125,0.0037246721,"21-01-2017,07:47:52"
126,0.0037346845,"21-01-2017,07:47:52"
127,0.0036867962,"21-01-2017,07:47:52"
128,0.0036250595,"21-01-2017,07:47:52"
129,0.003506603,"21-01-2017,07:47:53"
130,0.0039918544,"21-01-2017,07:47:53"
131,0.004176535,"21-01-2017,07:47:53"
132,0.00432787,"21-01-2017,07:47:53"
133,0.004258212,"21-01-2017,07:47:54"
134,0.0042357543,"21-01-2017,07:47:54"
135,0.0039908877,"21-01-2017,07:47:54"
136,0.0036172033,"21-01-2017,07:47:54"
137,0.0038992343,"21-01-2017,07:47:54"
138,0.00408137,"21-01-2017,07:47:55"
139,0.00284487,"21-01-2017,07:47:55"
140,0.0003242533,"21-01-2017,07:47:55"
141,0.00013978555,"21-01-2017,07:47:55"
142,0.00061124394,"21-01-2017,07:47:56"
143,0.0035200384,"21-01-2017,07:47:56"
144,0.004069714,"21-01-2017,07:47:56"
145,0.0034559,"21-01-2017,07:47:56"
146,0.0040892162,"21-01-2017,07:47:57"
147,0.004368464,"21-01-2017,07:47:57"
148,0.004414253,"21-01-2017,07:47:57"
149,0.0041012177,"21-01-2017,07:47:57"
150,0.0039034272,"21-01-2017,07:47:57"
151,0.0040174415,"21-01-2017,07:47:58"
152,0.0043614088,"21-01-2017,07:47:58"
153,0.0044982056,"21-01-2017,07:47:58"
154,0.0044615716,"21-01-2017,07:47:58"
155,0.0042492272,"21-01-2017,07:47:59"
156,0.0025423188,"21-01-2017,07:47:59"
157,0.0007433003,"21-01-2017,07:47:59"
158,0.0003672413,"21-01-2017,07:47:59"
159,9.452381e-05,"21-01-2017,07:48:00"
160,0.0002641258,"21-01-2017,07:48:00"
161,0.0027219234,"21-01-2017,07:48:00"
162,0.003844309,"21-01-2017,07:48:00"
163,0.003944394,"21-01-2017,07:48:00"
164,0.0040130913,"21-01-2017,07:48:01"
165,0.004141566,"21-01-2017,07:48:01"
166,0.0041426597,"21-01-2017,07:48:01"
167,0.0041660336,"21-01-2017,07:48:01"
168,0.004099446,"21-01-2017,07:48:02"
169,0.00447914,"21-01-2017,07:48:02"
170,0.004475148,"21-01-2017,07:48:02"
171,0.0044032666,"21-01-2017,07:48:02"
172,0.003951898,"21-01-2017,07:48:03"
173,0.004227954,"21-01-2017,07:48:03"
174,0.003988076,"21-01-2017,07:48:03"
175,0.0013771194,"21-01-2017,07:48:03"
176,0.0017738346,"21-01-2017,07:48:04"
177,0.0028981885,"21-01-2017,07:48:04"
178,0.004261714,"21-01-2017,07:48:04"
179,0.0034393852,"21-01-2017,07:48:04"
180,0.0012390884,"21-01-2017,07:48:05"
181,0.0012390884,"21-01-2017,07:48:05"
182,0.0020747227,"21-01-2017,07:48:05"
183,0.0041449517,"21-01-2017,07:48:05"
184,0.003914297,"21-01-2017,07:48:05"
185,0.0034690248,"21-01-2017,07:48:06"
186,0.004238369,"21-01-2017,07:48:06"
187,0.004169305,"21-01-2017,07:48:06"
188,0.0041999845,"21-01-2017,07:48:06"
189,0.0038431545,"21-01-2017,07:48:07"
190,0.0038350266,"21-01-2017,07:48:07"
191,0.0037484216,"21-01-2017,07:48:07"
192,0.0035472026,"21-01-2017,07:48:07"
193,0.0030115414,"21-01-2017,07:48:07"
194,0.0021495644,"21-01-2017,07:48:08"
195,0.0016529643,"21-01-2017,07:48:08"
196,0.0022227182,"21-01-2017,07:48:08"
197,0.0028758685,"21-01-2017,07:48:08"
198,0.0034461748,"21-01-2017,07:48:09"
199,0.0035720882,"21-01-2017,07:48:09"
200,0.0034662804,"21-01-2017,07:48:09"
201,0.0031988581,"21-01-2017,07:48:09"
202,0.0017379741,"21-01-2017,07:48:09"
203,0.0011010242,"21-01-2017,07:48:10"
204,0.0010376587,"21-01-2017,07:48:10"
205,0.0016841097,"21-01-2017,07:48:10"
206,0.0017798553,"21-01-2017,07:48:10"
207,0.0016934427,"21-01-2017,07:48:11"
208,0.0015739274,"21-01-2017,07:48:11"
209,0.0008769004,"21-01-2017,07:48:11"
210,0.00052506715,"21-01-2017,07:48:11"
211,0.00048430788,"21-01-2017,07:48:12"
212,0.0010090498,"21-01-2017,07:48:12"
213,0.0011927707,"21-01-2017,07:48:12"
214,0.0015666793,"21-01-2017,07:48:12"
215,0.0019910857,"21-01-2017,07:48:12"
216,0.0021155493,"21-01-2017,07:48:13"
217,0.0019883593,"21-01-2017,07:48:13"
218,0.00212818,"21-01-2017,07:48:13"
219,0.0022787477,"21-01-2017,07:48:13"
220,0.0027757525,"21-01-2017,07:48:14"
221,0.0030035393,"21-01-2017,07:48:14"
222,0.003010634,"21-01-2017,07:48:14"
223,0.0030098876,"21-01-2017,07:48:14"
224,0.0027654695,"21-01-2017,07:48:15"
225,0.0021916465,"21-01-2017,07:48:15"
