TIMESTAMP,DEVICE_ID,USER_ID,RAW_INTENSITY,STEPS,RAW_KIND,HEART_RATE, Time
1485013932,1,1,-1,-1,1,0, 1
1485013953,1,1,-1,-1,1,58, 2
1485013968,1,1,-1,-1,1,82, 3
1485013978,1,1,-1,-1,1,93, 4
1485013997,1,1,-1,-1,1,51, 5
1485014008,1,1,-1,-1,1,100, 6
1485014023,1,1,-1,-1,1,103, 7
1485014039,1,1,-1,-1,1,98, 8
1485014054,1,1,-1,-1,1,93, 9
1485014069,1,1,-1,-1,1,93, 10
1485014087,1,1,-1,-1,1,87, 11
1485014103,1,1,-1,-1,1,100, 12
1485014113,1,1,-1,-1,1,103, 13
1485014134,1,1,-1,-1,1,90, 14
1485014142,1,1,-1,-1,1,98, 15
1485014165,1,1,-1,-1,1,97, 16
1485014172,1,1,-1,-1,1,98, 17
1485014187,1,1,-1,-1,1,100, 18
1485014202,1,1,-1,-1,1,93, 19
1485014217,1,1,-1,-1,1,107, 20
1485014233,1,1,-1,-1,1,91, 21
1485014247,1,1,-1,-1,1,94, 22
1485014263,1,1,-1,-1,1,92, 23
1485014277,1,1,-1,-1,1,91, 24
1485014292,1,1,-1,-1,1,100, 25
1485014307,1,1,-1,-1,1,93, 26
1485014327,1,1,-1,-1,1,95, 27
1485014342,1,1,-1,-1,1,63, 28
1485014354,1,1,-1,-1,1,86, 29
1485014367,1,1,-1,-1,1,103, 30
1485014382,1,1,-1,-1,1,93, 31
1485014397,1,1,-1,-1,1,97, 32
1485014412,1,1,-1,-1,1,100, 33
1485014432,1,1,-1,-1,1,46, 34
1485014442,1,1,-1,-1,1,96, 35
1485014463,1,1,-1,-1,1,102, 36
1485014481,1,1,-1,-1,1,0, 37
1485014489,1,1,-1,-1,1,89, 38
1485014507,1,1,-1,-1,1,101, 39
1485014522,1,1,-1,-1,1,96, 40
1485014537,1,1,-1,-1,1,92, 41
1485014549,1,1,-1,-1,1,101, 42
1485014567,1,1,-1,-1,1,81, 43
1485014582,1,1,-1,-1,1,95, 44
1485014592,1,1,-1,-1,1,107, 45
1485014609,1,1,-1,-1,1,112, 46
1485014627,1,1,-1,-1,1,79, 47
1485014637,1,1,-1,-1,1,92, 48
1485014660,1,1,-1,-1,1,99, 49
1485014669,1,1,-1,-1,1,91, 50
1485014688,1,1,-1,-1,1,90, 51
1485014702,1,1,-1,-1,1,89, 52
1485014717,1,1,-1,-1,1,46, 53
1485014733,1,1,-1,-1,1,108, 54
1485014743,1,1,-1,-1,1,93, 55
1485014762,1,1,-1,-1,1,91, 56
1485014772,1,1,-1,-1,1,100, 57
1485014788,1,1,-1,-1,1,100, 58
1485014807,1,1,-1,-1,1,80, 59
1485014817,1,1,-1,-1,1,89, 60
1485014832,1,1,-1,-1,1,88, 61
1485014847,1,1,-1,-1,1,92, 62
1485014862,1,1,-1,-1,1,98, 63
1485014883,1,1,-1,-1,1,95, 64
1485014892,1,1,-1,-1,1,95, 65
1485014927,1,1,-1,-1,1,71, 66
1485014942,1,1,-1,-1,1,52, 67
1485014952,1,1,-1,-1,1,97, 68
1485014975,1,1,-1,-1,1,70, 69
1485014988,1,1,-1,-1,1,97, 70
1485015003,1,1,-1,-1,1,106, 71
1485015013,1,1,-1,-1,1,108, 72
1485015032,1,1,-1,-1,1,96, 73
1485015049,1,1,-1,-1,1,72, 74
1485015057,1,1,-1,-1,1,0, 75
1485015077,1,1,-1,-1,1,54, 76
1485015095,1,1,-1,-1,1,104, 77
1485015122,1,1,-1,-1,1,46, 78
1485015138,1,1,-1,-1,1,92, 79
1485015153,1,1,-1,-1,1,105, 80
